img_dir_path,img_name,img_height,img_width,mask_label,polygon_points
/ssd_scratch/cvit/chocolite/OPMDData/Set11/,007204312517_1_right.jpg,2600,3448,Mouth,"[(181.85, 42.18), (91.57, 206.81), (54.4, 482.97), (91.57, 844.09), (224.34, 1183.97), (505.8, 1640.68), (728.85, 1985.88), (1169.63, 2410.73), (1416.5, 2562.8), (1556.9, 2573.5), (1881.3, 2575.4), (2412.32, 2447.9), (2741.58, 2309.83), (2906.21, 2262.03), (3246.09, 2001.81), (3410.72, 1794.69), (3431.96, 1587.58), (3431.96, 1332.67), (3405.41, 1099.0), (3277.95, 828.16), (3108.01, 626.35), (2879.66, 313.03), (2757.51, 355.51), (2587.57, 440.48), (2364.52, 493.59), (2237.07, 525.45), (2104.3, 498.9), (2045.89, 387.37), (2051.2, 297.09), (2083.06, 180.26), (2178.65, 47.49), (2136.17, 31.56), (1971.54, 63.43), (1833.46, 68.74), (1530.75, 58.11), (1408.61, 15.63), (1206.81, 15.63), (1222.74, 137.77), (1201.49, 387.37), (1074.04, 589.18), (914.72, 695.39), (734.16, 684.77), (612.01, 552.0), (564.22, 440.48), (532.35, 275.85), (511.11, 84.67), (468.63, 5.01)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set5/,666889452012_1_others.jpg,4160,3120,Mouth1,"[(14.64, 168.21), (118.31, 58.05), (3086.04, 38.61), (3086.04, 38.61), (3111.96, 3900.54), (2716.69, 4133.81), (2716.69, 4133.81), (40.55, 4101.41)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set11/,020139710869_1_others.png,1280,960,Mouth,"[(14.33, 59.53), (57.9, 12.33), (744.2, 25.04), (927.57, 210.23), (958.44, 751.28), (942.1, 1148.9), (893.35, 1280.0), (41.4, 1280.0), (10.69, 1279.62)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set5/,165208139498_1_others.jpg,4160,3120,Mouth1,"[(500.62, 2001.98), (643.17, 1127.21), (1064.36, 693.07), (1692.89, 582.91), (2016.88, 550.51), (2405.66, 1017.05), (2515.82, 1328.08), (2509.34, 1399.36), (1278.19, 1295.68), (1278.19, 1295.68), (1168.03, 1295.68), (1057.88, 1412.32), (986.6, 1639.11), (954.2, 1788.14), (2392.7, 2034.37), (2399.18, 2254.69), (2399.18, 2261.17), (2366.79, 2520.36), (2185.35, 2883.22), (1816.01, 3071.13), (1342.98, 3045.22), (1317.07, 3045.22), (1031.96, 2837.86), (630.21, 2377.8)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set5/,025145455822_1_left.jpg,4160,3120,Mouth1,"[(21.12, 12.69), (2237.19, 32.13), (2191.83, 297.8), (2101.12, 939.3), (1932.64, 1490.07), (1932.64, 1515.99), (1822.49, 2325.96), (1803.05, 2708.27), (1705.85, 3148.89), (1349.46, 3518.24), (785.73, 3667.27), (150.71, 3589.51), (8.16, 3537.68)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set5/,130938912737_1_top.jpg,4160,3120,Mouth1,"[(150.71, 1068.89), (150.71, 1068.89), (371.02, 615.31), (740.37, 265.4), (1245.79, 200.6), (1725.29, 148.77), (2224.23, 226.52), (2561.18, 446.84), (2749.09, 829.14), (2664.85, 1392.88), (2541.74, 1878.86), (2379.74, 2345.4), (2276.07, 2624.03), (1893.76, 2656.43), (1660.49, 2675.87), (1479.06, 2798.98), (1122.67, 2915.62), (824.6, 2837.86), (701.49, 2656.43), (539.5, 2578.67), (422.86, 2455.56), (234.95, 1671.51), (163.67, 1315.12)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set5/,427627611516_1_others2.jpg,1600,1200,Mouth1,"[(120.16, 677.91), (105.2, 530.87), (105.2, 411.3), (120.16, 331.49), (239.78, 54.86), (239.78, 54.86), (292.12, 14.98), (292.12, 14.98), (935.11, 22.46), (1037.29, 94.73), (1074.67, 234.3), (1124.52, 433.68), (1166.88, 593.18), (1164.39, 782.59), (1164.39, 782.59), (1151.93, 1014.36), (1127.01, 1136.48), (1127.01, 1136.48), (955.05, 1261.09), (655.98, 1340.84), (489.0, 1330.87), (354.42, 1263.58), (217.35, 1104.08), (217.35, 1104.08), (170.0, 962.02), (170.0, 962.02), (85.26, 949.56), (60.34, 812.49), (112.68, 710.31)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set6/,654012666211_1_top.jpg,4160,1920,Mouth,"[(4.27, 453.31), (224.58, 265.4), (483.77, 148.77), (814.24, 304.28), (1235.42, 142.29), (1494.61, 194.12), (1708.44, 498.67), (1838.04, 699.55), (1844.52, 971.69), (1786.2, 1166.09), (1598.29, 1723.35), (1384.45, 1626.15), (1293.74, 1522.47), (1177.1, 1626.15), (1079.91, 1762.22), (1112.31, 2027.89), (995.67, 2099.17), (827.2, 1982.54), (723.52, 1904.78), (399.53, 1723.35), (120.9, 1593.75), (17.23, 1541.91)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set6/,020902436774_1_others.jpg,4160,1920,Mouth,"[(4.27, 3200.73), (101.46, 3369.2), (302.34, 3278.49), (503.21, 3272.01), (775.36, 3485.84), (853.12, 3602.47), (950.31, 3589.51), (1028.07, 3356.24), (1326.14, 3265.53), (1475.17, 3323.84), (1585.33, 3388.64), (1766.76, 3259.05), (1909.31, 2792.5), (1896.36, 38.61), (17.23, 19.17)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set6/,653016087148_1_top.jpg,4160,1920,Mouth,"[(17.23, 556.99), (237.54, 32.13), (1734.36, 45.09), (1915.79, 427.4), (1902.84, 2176.93), (1851.0, 2274.12), (1656.6, 2306.52), (1475.17, 2487.96), (1345.58, 2559.23), (1365.02, 2773.07), (969.75, 2675.87), (775.36, 2662.91), (354.17, 2682.35), (282.9, 2662.91), (127.38, 2449.08), (17.23, 2371.32)]"
